Title,Author,Type,Ratings,Number of ratings,Price(in rupees)
The Psychology of Money,Morgan Housel,Paperback,4.6,31631,248.0
Atomic Habits: The life-changing million copy bestseller,James Clear,Paperback,4.6,38657,520.0
Word Power Made Easy,Norman Lewis,Paperback,4.4,37038,98.0
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Mass Market Paperback,4.6,57511,302.0
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",Sudha Murty,Paperback,4.6,13562,155.0
Oswaal CBSE Term 2 English Science Social Science & Math Standard Class 10 Sample Question Paper (Set of 4 Books) (For Term-2 2022 Exam) Free Access Code For Oswaal 360,Oswaal Editorial Board,Product Bundle,4.7,492,379.0
Ikigai: The Japanese secret to a long and happy life,Héctor García,Hardcover,4.6,31323,375.26
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,Board book,4.5,48814,606.0
27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,Mrunal Patel,Paperback,4.5,1742,305.0
It Ends With Us: A Novel: Volume 1,Colleen Hoover,Paperback,4.6,54403,159.0
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",Maple Press,Paperback,4.4,3837,170.0
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,Paperback,4.5,40287,175.0
The Power of Your Subconscious Mind,Joseph Murphy,Paperback,4.5,51503,125.0
Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,Paperback,4.3,113,520.0
"India that is Bharat: Coloniality, Civilisation, Constitution",J Sai Deepak,Hardcover,4.8,3198,499.0
Oswaal CBSE Term 2 Science Class 10 Sample Question Paper Book (For Term-2 2022 Exam),Oswaal Editorial Board,Paperback,4.5,88,98.0
"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,Paperback,4.6,7969,549.0
DO EPIC SHIT,Ankur Warikoo,Hardcover,4.5,3745,248.0
Mathematics for Class 9 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,Paperback,4.5,32,438.0
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,Paperback,4.4,24704,464.0
Picture Books Collection for Early Learning (Set of 12),E C Axus,Cards,4.3,14804,250.0
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,Paperback,4.4,3748,499.0
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,Paperback,4.7,4820,210.0
CBSE All In One Social Science Class 10 2022-23 Edition,Madhumita Pattrea,Paperback,4.7,14,453.99
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,Paperback,4.5,17292,139.3
